event_index,event_type,expected_class,value,note
1,http,benign,http://vnexpress.net/thoi-su/chinh-sach-moi.html,news benign
2,http,benign,http://tuoitre.vn/giao-duc/tuyen-sinh-2026.htm,news benign
3,http,phishing,http://paypal-account-security-check.com/account/reset?token=8932,paypal phishing simulation
4,http,benign,http://thanhnien.vn/cong-nghe/chuyen-doi-so-185260501.htm,news benign
5,http,benign,http://dantri.com.vn/xa-hoi/lich-nghi-le-2026.htm,news benign
6,http,benign,http://laodong.vn/kinh-doanh/thi-truong-hom-nay-2026.htm,news benign
7,http,phishing,http://secure-paypal-login.verify-session.com/signin/confirm,brand subdomain phishing simulation
8,http,benign,http://nhandan.vn/van-hoa/tin-moi.html,news benign
9,http,benign,http://vietnamnet.vn/giao-duc/hoc-bong-dai-hoc-2026.html,news benign
10,http,benign,http://baochinhphu.vn/tin-tuc/chi-dao-dieu-hanh-2026.htm,government benign
11,http,phishing,http://microsoft365-login-verify.com/common/oauth2/authorize?client_id=office,microsoft phishing simulation
12,http,benign,http://chinhphu.vn/du-thao-van-ban,government benign
13,http,benign,http://moh.gov.vn/tin-lien-quan-y-te,government benign
14,http,benign,http://moet.gov.vn/tin-tuc/Pages/tin-tong-hop.aspx,government benign
15,http,benign,http://mic.gov.vn/Pages/TinTuc/140001/chuyen-doi-so.html,government benign
16,http,phishing,http://account-google-security-alert.com/ServiceLogin?continue=mail,google phishing simulation
17,http,benign,http://hcmus.edu.vn/dao-tao/thong-bao,university benign
18,http,benign,http://fit.hcmus.edu.vn/tin-tuc,university benign
19,http,benign,http://hutech.edu.vn/tuyen-sinh-dai-hoc,university benign
20,http,phishing,http://vietcombank-digibank-secure.com/dang-nhap/kiem-tra-tai-khoan,banking phishing simulation
21,http,benign,http://uit.edu.vn/sinh-vien/thong-bao,university benign
22,http,benign,http://hcmut.edu.vn/vi/news/tin-tuc,university benign
23,http,benign,http://ctu.edu.vn/dao-tao/thong-bao,university benign
24,http,phishing,http://acb-online-verify.com/acbib/Request?session=expired,banking phishing simulation
25,http,benign,http://ueh.edu.vn/dao-tao,university benign
26,http,benign,http://vnu.edu.vn/home/?C1654,university benign
27,http,benign,http://vietcombank.com.vn/vi-VN/Trang-chu,banking benign
28,http,benign,http://bidv.com.vn/vn/ca-nhan,banking benign
29,http,phishing,http://techcombank-login-business.com/dang-nhap-ngan-hang-so,banking phishing simulation
30,http,benign,http://acb.com.vn/ca-nhan,banking benign
31,http,benign,http://techcombank.com/khach-hang-ca-nhan,banking benign
32,http,benign,http://mbbank.com.vn/ca-nhan,banking benign
33,http,phishing,http://binance-wallet-verify-login.com/wallet/restore?seed=confirm,crypto phishing simulation
34,http,benign,http://tpb.vn/ca-nhan,banking benign
35,http,benign,http://agribank.com.vn/vn/ca-nhan,banking benign
36,http,benign,http://vpbank.com.vn/ca-nhan,banking benign
37,http,phishing,http://metamask-verify-wallet.com/import-wallet,crypto phishing simulation
38,http,benign,http://cellphones.com.vn/mobile/samsung.html,commerce benign
39,http,benign,http://fptshop.com.vn/may-tinh-xach-tay,commerce benign
40,http,benign,http://thegioididong.com/dtdd,commerce benign
41,http,benign,http://dienmayxanh.com/may-lanh,commerce benign
42,http,phishing,http://www.purchaseordersale.com.wellscreditfargo.com/,brand-subdomain spoof simulation
43,http,benign,http://tiki.vn/dien-thoai-may-tinh-bang/c1789,commerce benign
44,http,benign,http://shopee.vn/search?keyword=sach%20lap%20trinh,commerce benign
45,http,benign,http://lazada.vn/catalog/?q=ban%20phim,commerce benign
46,http,phishing,http://fasoasio-dtfhevakagcrhtcs.z02.azurefd.net/WinAbhwebsi018/index.html?ph0nq=null,cloud-edge portal phishing simulation
47,http,benign,http://github.com/openai/openai-python,developer benign
48,http,benign,http://stackoverflow.com/questions/tagged/python,developer benign
49,http,benign,http://docs.python.org/3/library/json.html,developer benign
50,http,phishing,http://delivery-vnpost-confirm.com/tracking/login?ReturnUrl=%2Fparcel,delivery phishing simulation
51,http,benign,http://pypi.org/project/requests/,developer benign
52,http,benign,http://microsoft.com/vi-vn/microsoft-365,software benign
53,http,benign,http://support.google.com/accounts/answer/61416,support benign
54,http,benign,http://cloudflare.com/learning/security/,security benign
55,http,phishing,http://invoice-sharepoint-docs.com/onedrive/login?file=invoice.pdf,cloud docs phishing simulation
56,http,benign,http://wikipedia.org/wiki/Phishing,reference benign
57,http,benign,http://coursera.org/learn/machine-learning,learning benign
